,enrollee_id,city_development_index,experience,company_size,last_new_job,training_hours,target
98,7016,0.802,6,2,2,14,1.0
99,8695,0.55,6,1,2,27,1.0
100,6172,0.55,8,3,1,24,1.0
102,18257,0.92,11,4,5,20,0.0
103,24493,0.92,5,4,1,140,0.0
104,1180,0.91,12,6,1,52,0.0
105,28627,0.939,21,2,2,160,0.0
106,8168,0.897,9,6,2,3,0.0
107,10473,0.624,2,0,2,2,1.0
108,25349,0.91,21,5,5,28,0.0
110,4789,0.855,8,2,1,210,0.0
111,11338,0.926,10,0,1,36,0.0
113,8571,0.624,2,1,2,101,0.0
114,16303,0.926,6,2,1,46,0.0
115,20576,0.925,21,5,5,19,0.0
116,32966,0.624,3,3,2,26,1.0
117,21199,0.698,7,0,1,90,0.0
118,18819,0.8959999999999999,9,0,4,59,0.0
119,14199,0.92,10,2,1,260,0.0
120,7666,0.624,11,2,5,74,0.0
121,13915,0.91,21,3,2,20,1.0
122,10555,0.878,12,3,2,8,0.0
123,16040,0.92,6,3,1,131,0.0
125,13253,0.693,11,1,2,109,0.0
126,15637,0.855,3,3,1,70,0.0
127,28074,0.92,21,3,5,17,0.0
128,23012,0.92,15,2,1,51,0.0
129,16110,0.92,6,2,3,60,1.0
130,3921,0.893,21,5,5,4,0.0
131,24530,0.926,12,3,5,7,0.0
132,1924,0.804,21,3,3,164,0.0
134,1907,0.804,2,0,0,145,0.0
137,24829,0.92,3,7,1,133,1.0
139,1265,0.92,10,0,1,76,0.0
141,13342,0.624,8,6,2,34,0.0
142,24608,0.92,9,0,2,15,0.0
144,24796,0.92,21,6,5,15,0.0
146,22718,0.769,14,7,5,47,0.0
148,3396,0.855,6,4,0,102,0.0
150,18998,0.926,9,1,4,39,0.0
152,31786,0.92,21,2,5,14,0.0
154,12154,0.91,21,5,5,55,0.0
155,23455,0.624,6,7,4,49,1.0
157,28817,0.925,14,6,3,141,1.0
159,7280,0.92,13,7,1,6,0.0
160,16903,0.92,17,6,1,125,0.0
162,26241,0.92,21,3,2,33,0.0
163,12381,0.804,6,7,5,40,0.0
165,32092,0.92,15,7,5,55,0.0
166,3766,0.698,21,4,5,32,0.0
167,30496,0.92,21,3,5,11,0.0
168,7189,0.754,21,0,1,41,0.0
169,29497,0.92,21,7,5,87,1.0
170,31593,0.855,10,3,4,114,0.0
172,11986,0.698,5,0,1,15,0.0
174,14835,0.878,2,3,1,22,0.0
175,3728,0.92,21,6,4,13,0.0
176,3024,0.949,21,0,1,246,0.0
177,23508,0.92,9,1,1,22,0.0
178,29457,0.92,21,0,1,81,0.0
179,12297,0.7759999999999999,4,1,1,11,0.0
181,3065,0.92,21,3,1,50,0.0
183,5493,0.939,21,1,5,31,0.0
184,2891,0.926,21,2,0,84,0.0
185,32509,0.897,4,7,1,42,0.0
186,31841,0.624,10,1,5,105,1.0
187,907,0.92,21,2,5,72,0.0
188,29526,0.789,14,1,5,42,1.0
189,10956,0.698,15,2,1,152,0.0
190,26099,0.92,12,7,1,60,0.0
194,706,0.91,4,3,0,38,0.0
195,9890,0.92,14,0,2,178,0.0
196,32683,0.92,15,2,1,11,0.0
199,31943,0.884,21,3,2,32,0.0
200,22899,0.887,9,3,1,31,1.0
201,33339,0.624,2,4,1,39,0.0
202,20866,0.775,7,1,1,12,0.0
203,21634,0.624,5,7,1,50,0.0
204,29529,0.903,3,3,1,55,1.0
206,32095,0.92,2,2,1,104,0.0
208,30098,0.92,21,3,5,8,0.0
210,7672,0.624,0,1,1,202,1.0
211,5633,0.555,4,3,1,22,0.0
214,24936,0.624,3,2,1,88,0.0
215,397,0.754,5,5,4,81,0.0
216,31602,0.92,21,7,1,7,0.0
218,16814,0.91,21,7,5,62,0.0
219,19249,0.92,6,2,1,83,0.0
220,9475,0.939,9,5,5,11,0.0
221,4865,0.926,21,2,5,10,0.0
222,20881,0.939,10,5,1,114,0.0
223,21563,0.624,3,2,1,36,0.0
224,25114,0.804,6,1,1,17,0.0
226,8528,0.92,21,2,5,108,0.0
227,6141,0.92,2,3,2,45,0.0
229,2821,0.926,15,3,2,8,0.0
231,25495,0.727,9,3,5,37,0.0
233,28015,0.92,13,4,2,162,0.0
235,405,0.903,19,3,4,4,0.0
236,13891,0.884,3,5,1,41,0.0
237,33050,0.903,17,7,2,12,0.0
238,399,0.92,21,2,1,190,0.0
239,8202,0.624,7,2,5,29,1.0
240,8751,0.92,6,3,1,11,0.0
241,20744,0.92,3,7,1,30,0.0
242,25380,0.92,13,3,5,39,0.0
244,12509,0.926,21,2,5,5,0.0
246,13083,0.926,10,2,5,29,0.0
247,12454,0.624,4,2,2,210,0.0
248,3500,0.92,6,2,1,54,0.0
249,15922,0.92,9,2,3,44,0.0
251,28838,0.92,21,5,5,74,0.0
252,24082,0.624,6,1,1,8,1.0
254,1020,0.92,3,4,1,162,0.0
255,6189,0.893,2,2,1,110,0.0
256,16994,0.762,3,1,1,262,0.0
258,14578,0.6659999999999999,9,1,1,19,1.0
259,20732,0.6659999999999999,21,2,5,23,1.0
261,16537,0.897,15,7,5,134,0.0
262,17358,0.926,11,1,1,40,0.0
263,21933,0.884,12,2,1,11,0.0
266,24152,0.923,3,7,0,30,0.0
268,4310,0.92,14,5,3,4,0.0
272,20976,0.92,5,5,2,40,0.0
273,13150,0.91,21,3,2,27,0.0
274,12206,0.926,10,3,5,46,0.0
275,9407,0.926,7,2,5,110,0.0
276,13152,0.92,13,2,1,96,0.0
277,1069,0.92,5,7,2,57,0.0
279,22689,0.949,4,2,4,42,0.0
281,13994,0.64,21,2,0,40,1.0
282,27064,0.92,5,3,2,94,0.0
283,14598,0.794,9,6,1,160,0.0
284,9571,0.878,10,1,1,25,0.0
285,30854,0.516,9,0,1,11,0.0
286,25290,0.878,0,3,1,29,0.0
288,17519,0.727,10,1,2,113,0.0
291,27277,0.92,2,5,1,20,0.0
292,31692,0.92,21,7,1,40,0.0
293,6052,0.92,21,0,5,56,0.0
295,12934,0.926,19,4,2,64,0.0
296,30400,0.754,5,7,1,51,0.0
297,26419,0.855,6,5,2,41,0.0
298,4188,0.92,20,3,5,150,0.0
299,12117,0.579,4,1,1,320,0.0
301,30472,0.624,4,5,1,9,1.0
302,32534,0.804,9,6,1,74,0.0
305,25182,0.913,2,3,0,58,0.0
308,2793,0.923,21,1,5,166,0.0
309,25174,0.913,2,2,1,110,0.0
313,30484,0.926,21,2,5,31,0.0
314,14688,0.743,11,2,5,97,0.0
317,20322,0.804,21,3,5,206,0.0
318,22194,0.92,2,1,1,204,0.0
319,31401,0.92,18,7,2,116,0.0
320,14914,0.804,16,3,4,161,0.0
322,27530,0.92,18,4,5,94,0.0
323,24701,0.92,15,7,5,16,0.0
325,10102,0.92,20,7,0,107,0.0
327,15701,0.91,10,0,1,140,0.0
328,21218,0.939,3,7,2,75,0.0
330,9189,0.899,6,2,1,146,0.0
332,10752,0.855,9,3,2,42,1.0
335,17460,0.91,7,7,1,22,0.0
337,9384,0.913,21,4,5,143,0.0
338,4269,0.855,14,2,2,72,0.0
339,14935,0.92,11,4,1,7,0.0
340,28033,0.897,3,2,1,182,0.0
341,1568,0.915,15,2,4,50,0.0
342,15465,0.887,2,2,1,82,0.0
343,26233,0.91,2,7,1,58,0.0
344,24729,0.924,9,1,1,94,0.0
345,29440,0.624,4,0,2,60,1.0
346,32652,0.802,5,3,4,124,0.0
349,21078,0.92,9,2,1,17,0.0
350,30331,0.92,14,6,5,101,0.0
354,2855,0.91,5,7,0,31,0.0
355,18385,0.55,9,2,1,12,0.0
356,27866,0.92,21,2,1,31,0.0
358,24807,0.92,6,2,1,55,0.0
360,6008,0.91,21,3,5,38,0.0
362,2990,0.878,21,5,3,32,1.0
363,28229,0.7759999999999999,18,3,5,51,0.0
364,4162,0.804,9,6,2,22,0.0
367,2194,0.899,5,1,1,19,0.0
368,21564,0.624,9,2,2,46,1.0
369,17432,0.91,13,2,5,15,0.0
371,1988,0.893,21,3,5,38,0.0
374,8540,0.92,21,5,5,52,0.0
376,15468,0.926,15,3,2,65,0.0
377,32747,0.92,14,2,1,64,0.0
378,1297,0.92,7,6,4,86,0.0
381,22517,0.926,3,5,1,86,0.0
383,30676,0.91,21,3,5,53,0.0
384,18376,0.939,17,2,1,60,0.0
386,29961,0.939,21,2,2,166,0.0
388,20369,0.624,7,7,1,35,0.0
389,23505,0.92,17,3,5,106,0.0
390,11751,0.836,6,0,0,58,0.0
392,28590,0.91,6,2,1,72,0.0
393,32699,0.92,18,7,1,80,0.0
394,10370,0.939,16,6,2,166,0.0
395,4095,0.895,21,3,1,25,0.0
396,5340,0.92,21,7,0,109,0.0
397,9217,0.884,1,0,1,37,0.0
400,5673,0.89,9,2,3,51,0.0
401,25421,0.92,16,2,1,84,0.0
402,20698,0.926,21,4,1,72,0.0
403,41,0.887,21,3,1,47,0.0
405,9387,0.754,6,0,2,20,0.0
407,9515,0.92,2,5,1,64,0.0
408,20743,0.8959999999999999,15,7,5,23,1.0
409,25766,0.884,14,3,3,96,0.0
411,4642,0.754,9,0,1,8,0.0
412,16178,0.762,21,3,1,48,0.0
413,1829,0.624,8,1,1,98,1.0
414,2377,0.926,7,4,0,46,0.0
416,10529,0.92,21,0,1,102,0.0
419,32324,0.92,21,2,5,32,0.0
421,8151,0.767,8,1,1,7,0.0
423,9420,0.847,21,4,0,96,0.0
424,17083,0.92,4,6,1,7,0.0
425,16414,0.91,16,1,1,53,0.0
426,32340,0.855,10,1,1,161,0.0
427,18462,0.897,8,1,1,11,0.0
428,7996,0.8270000000000001,9,3,2,6,0.0
429,30636,0.624,1,2,1,72,1.0
430,29982,0.794,6,2,1,182,0.0
431,29217,0.939,21,6,5,67,0.0
433,22508,0.884,5,3,1,16,0.0
434,25969,0.91,21,7,5,38,0.0
435,28080,0.92,5,1,1,98,0.0
438,29000,0.884,4,3,2,112,0.0
439,26925,0.7659999999999999,15,6,0,30,1.0
440,7696,0.738,9,2,1,9,0.0
441,25525,0.855,4,7,1,36,0.0
442,21989,0.91,19,3,4,24,0.0
443,10984,0.92,2,7,1,28,0.0
444,26543,0.878,10,2,1,166,0.0
445,32043,0.624,10,2,2,61,1.0
446,15343,0.762,21,2,3,24,0.0
450,23185,0.878,21,1,5,29,0.0
451,1434,0.92,7,7,1,53,0.0
452,9600,0.92,9,7,5,11,1.0
453,25963,0.624,4,2,1,7,0.0
454,5141,0.762,8,2,5,87,0.0
455,657,0.92,8,1,1,18,0.0
456,29991,0.8270000000000001,9,5,1,76,1.0
457,18759,0.624,6,7,1,114,0.0
459,5731,0.91,7,2,5,30,0.0
460,20135,0.923,21,4,5,80,0.0
461,18620,0.7759999999999999,14,5,0,52,0.0
462,24226,0.624,0,2,1,13,0.0
463,10092,0.767,4,3,0,42,0.0
464,1950,0.767,6,2,1,56,1.0
466,11966,0.836,2,3,1,36,0.0
467,10017,0.926,21,5,5,67,0.0
468,28391,0.624,8,2,1,13,1.0
470,20797,0.91,15,7,1,58,0.0
471,25041,0.624,7,3,1,18,1.0
472,18476,0.624,2,7,2,90,1.0
473,26668,0.64,6,7,1,59,0.0
474,18586,0.804,2,7,2,35,0.0
475,17783,0.802,0,7,2,11,0.0
477,6283,0.92,10,2,5,206,0.0
478,2586,0.647,9,2,1,130,0.0
480,28468,0.939,21,7,5,88,0.0
481,17941,0.624,0,7,1,18,0.0
482,23384,0.624,8,1,1,41,0.0
483,4978,0.926,14,7,2,16,0.0
484,28641,0.924,21,5,5,95,0.0
487,14999,0.855,21,2,2,21,0.0
488,3999,0.795,21,3,5,94,0.0
489,9860,0.92,17,1,3,20,0.0
492,24366,0.624,6,7,4,78,1.0
493,19986,0.92,4,7,1,5,0.0
494,17786,0.794,6,2,1,20,0.0
495,1396,0.939,21,7,3,2,0.0
496,22954,0.794,9,3,5,206,0.0
498,1563,0.682,12,3,3,25,0.0
499,29612,0.624,5,1,1,8,1.0
500,23856,0.926,9,4,2,22,0.0
501,30441,0.92,19,3,5,90,0.0
502,22742,0.91,9,0,1,56,0.0
504,11545,0.926,7,0,1,120,0.0
505,2404,0.624,4,2,0,18,1.0
506,7243,0.887,21,2,0,19,0.0
507,19555,0.802,8,6,2,314,0.0
510,22005,0.754,3,2,5,39,0.0
512,23365,0.5579999999999999,0,0,1,146,1.0
514,23430,0.7959999999999999,11,3,5,25,0.0
515,30404,0.92,21,2,5,50,1.0
516,8930,0.92,9,7,5,30,0.0
517,3920,0.698,18,7,4,39,0.0
519,16289,0.624,3,2,1,82,1.0
520,19889,0.624,7,7,2,32,0.0
521,11780,0.91,21,2,1,43,1.0
522,8489,0.55,15,3,5,15,1.0
524,22420,0.855,9,7,2,226,0.0
527,21603,0.624,7,2,1,50,0.0
528,19702,0.754,4,5,1,280,1.0
529,17665,0.91,3,2,2,91,0.0
530,19612,0.624,5,3,1,15,1.0
531,18905,0.92,5,3,2,14,0.0
532,824,0.91,10,4,1,74,0.0
534,14217,0.926,14,4,1,52,0.0
536,9414,0.624,8,3,1,54,1.0
537,33242,0.754,8,0,1,50,0.0
539,9684,0.895,17,0,1,42,0.0
540,8584,0.91,21,3,4,11,0.0
541,27003,0.91,10,2,2,74,0.0
542,17840,0.802,7,2,1,17,0.0
543,29723,0.89,9,2,5,90,0.0
544,33181,0.855,21,3,2,234,0.0
545,29288,0.624,3,4,3,11,1.0
546,3004,0.924,7,0,1,163,0.0
547,5828,0.91,10,2,4,9,0.0
549,28193,0.8270000000000001,5,1,1,6,0.0
550,26291,0.939,11,5,5,72,0.0
551,11739,0.926,18,3,3,84,0.0
552,20878,0.698,14,2,5,24,0.0
553,31156,0.913,21,1,1,77,0.0
554,21878,0.92,20,7,5,56,0.0
555,7009,0.804,13,2,1,22,0.0
556,31013,0.92,17,2,2,8,0.0
559,28829,0.624,9,3,1,74,1.0
561,17107,0.624,2,0,1,36,0.0
563,5911,0.92,21,3,5,151,0.0
564,24069,0.624,11,2,1,4,0.0
565,20803,0.743,2,3,2,102,0.0
566,3752,0.926,7,7,3,29,0.0
567,32925,0.91,21,7,2,78,0.0
568,27494,0.897,14,5,5,84,0.0
569,19818,0.624,2,0,2,141,1.0
570,22581,0.924,8,3,1,41,1.0
572,20143,0.866,12,2,1,30,0.0
573,2478,0.624,8,3,2,104,1.0
576,27624,0.91,8,2,2,21,0.0
577,32355,0.884,12,0,1,98,0.0
580,3827,0.92,21,1,5,9,0.0
581,9338,0.802,8,3,1,4,0.0
582,10386,0.92,21,0,3,53,0.0
583,14901,0.926,21,4,5,108,0.0
585,20751,0.893,5,0,1,112,0.0
586,13597,0.893,12,7,1,107,0.0
588,29508,0.926,21,3,1,24,0.0
589,5205,0.767,21,4,0,28,1.0
592,428,0.92,12,5,5,80,0.0
594,21843,0.754,21,3,2,96,0.0
595,17162,0.624,4,1,1,11,1.0
596,15259,0.92,15,1,5,46,0.0
597,14487,0.624,5,3,1,20,0.0
598,8055,0.913,8,3,4,46,0.0
599,4922,0.92,10,0,1,14,0.0
601,707,0.92,14,2,5,27,0.0
602,1131,0.92,11,7,5,34,0.0
603,22219,0.92,11,2,3,17,0.0
604,10454,0.92,3,3,3,40,0.0
607,22052,0.762,8,5,1,45,0.0
609,29432,0.925,8,2,2,85,0.0
610,6812,0.6659999999999999,6,2,1,110,0.0
612,9569,0.762,12,3,3,6,0.0
613,6389,0.92,15,5,4,11,0.0
615,24586,0.897,6,1,1,91,0.0
616,9463,0.767,21,0,2,28,0.0
617,6379,0.92,21,3,2,18,0.0
618,30514,0.794,7,3,1,50,0.0
619,12349,0.682,6,5,1,204,0.0
620,6995,0.926,5,2,2,256,0.0
621,13311,0.92,6,6,2,26,0.0
622,26275,0.92,5,7,4,168,1.0
623,30814,0.762,2,5,0,26,0.0
624,20823,0.926,16,3,5,37,0.0
629,5417,0.895,12,5,5,14,0.0
630,24280,0.624,4,4,1,218,0.0
632,22112,0.91,13,2,1,8,0.0
633,11003,0.92,8,1,1,38,0.0
634,12631,0.624,1,0,1,29,0.0
635,6326,0.915,8,5,2,26,0.0
636,24870,0.624,13,7,2,22,0.0
637,18170,0.91,9,3,1,50,0.0
638,33254,0.92,21,2,5,120,1.0
639,11821,0.762,9,3,1,100,0.0
640,24937,0.624,4,2,4,198,1.0
641,15837,0.92,3,0,2,18,1.0
643,15436,0.802,3,2,1,144,1.0
645,30277,0.92,9,1,1,54,0.0
646,4475,0.698,21,7,1,28,0.0
647,4072,0.91,21,7,1,20,0.0
648,11085,0.878,14,2,3,45,0.0
649,3878,0.92,6,7,3,55,0.0
650,33104,0.91,5,2,3,28,0.0
651,17304,0.939,6,3,1,96,0.0
654,18320,0.6890000000000001,4,2,3,31,1.0
655,27959,0.624,6,7,2,47,1.0
657,26713,0.92,4,7,2,8,0.0
660,25363,0.884,11,1,1,15,0.0
661,22573,0.926,8,4,0,53,0.0
662,440,0.92,21,7,5,42,0.0
663,27697,0.92,7,6,4,8,0.0
664,10792,0.804,12,6,1,182,0.0
665,30509,0.92,8,3,1,128,0.0
666,28149,0.92,5,2,2,25,1.0
667,24708,0.55,4,3,2,37,1.0
669,16372,0.926,9,2,1,88,0.0
670,33292,0.624,6,7,0,21,1.0
671,32619,0.92,4,3,1,90,0.0
672,29606,0.8959999999999999,3,3,5,10,0.0
674,10967,0.92,6,5,1,106,1.0
675,17375,0.769,9,3,5,35,1.0
678,10554,0.91,7,5,4,22,0.0
679,8311,0.926,12,5,1,82,0.0
680,5801,0.913,8,3,1,20,0.0
681,6010,0.92,8,7,2,44,0.0
682,31210,0.92,7,7,1,107,0.0
684,5203,0.624,3,1,5,116,1.0
685,7193,0.92,5,7,1,55,0.0
686,1695,0.939,12,5,1,42,0.0
687,16625,0.624,4,0,1,78,1.0
689,21967,0.926,21,3,5,56,0.0
691,29737,0.897,7,6,5,15,0.0
692,9846,0.92,6,3,1,54,0.0
693,3965,0.899,8,3,2,114,0.0
696,6724,0.91,8,2,4,23,0.0
697,21442,0.624,11,2,1,206,1.0
698,12716,0.926,6,2,1,76,0.0
699,18,0.899,21,1,5,24,0.0
700,26402,0.884,13,1,2,101,0.0
701,26214,0.878,9,3,2,56,0.0
702,21033,0.92,10,7,1,21,0.0
703,19073,0.92,7,7,1,77,0.0
704,6775,0.926,4,2,1,14,0.0
705,26126,0.92,13,2,1,326,0.0
706,28673,0.92,21,2,1,20,1.0
707,15012,0.84,9,1,1,34,0.0
708,10930,0.855,21,6,5,17,0.0
711,6502,0.804,5,3,1,326,0.0
712,29945,0.926,4,7,1,19,0.0
713,14523,0.555,11,3,1,124,1.0
715,2485,0.897,21,4,5,4,0.0
716,24355,0.926,18,5,4,122,0.0
723,10285,0.92,15,1,4,42,0.0
724,18289,0.794,15,5,1,33,0.0
728,12830,0.91,2,1,1,163,0.0
729,17967,0.92,4,2,1,58,0.0
730,12217,0.91,10,2,4,206,0.0
731,19215,0.92,10,7,1,57,0.0
732,27139,0.55,7,4,1,40,1.0
734,24887,0.939,2,0,1,30,0.0
735,19378,0.92,12,1,1,34,0.0
736,29769,0.624,3,5,0,44,0.0
737,18907,0.92,1,7,1,28,0.0
740,6448,0.903,21,7,5,6,0.0
741,30878,0.691,10,7,1,32,0.0
745,8023,0.698,9,1,4,86,0.0
746,3708,0.92,14,7,5,290,0.0
747,25403,0.92,2,3,1,168,0.0
751,18497,0.698,2,2,1,16,0.0
752,31798,0.91,14,5,1,8,0.0
755,4302,0.92,6,7,1,21,0.0
756,4980,0.926,9,2,2,123,0.0
757,7951,0.804,10,3,4,292,0.0
761,17529,0.624,5,1,3,48,1.0
762,8852,0.742,4,1,1,188,0.0
763,1794,0.92,12,2,2,42,0.0
764,13720,0.893,16,1,5,73,0.0
765,11292,0.92,21,7,5,156,1.0
766,24062,0.624,5,3,1,103,1.0
768,22896,0.624,6,2,3,74,1.0
769,17781,0.92,17,3,1,39,0.0
771,28433,0.855,12,4,1,96,0.0
772,27490,0.884,21,5,5,70,0.0
773,31489,0.91,16,2,0,4,0.0
775,21585,0.624,3,2,3,51,0.0
777,26674,0.92,18,7,2,6,0.0
779,24222,0.91,9,5,5,90,0.0
780,24054,0.624,5,2,1,71,1.0
781,15241,0.866,9,3,2,4,0.0
782,14204,0.92,4,2,1,145,0.0
783,18130,0.855,3,2,2,9,0.0
784,28603,0.92,10,3,4,26,0.0
785,23984,0.939,4,7,2,42,0.0
788,18892,0.92,15,2,2,166,0.0
789,3498,0.8270000000000001,21,3,5,72,0.0
790,32720,0.555,21,7,3,135,1.0
791,4828,0.624,6,4,5,138,1.0
792,29201,0.92,7,3,5,31,0.0
793,33126,0.92,21,7,5,25,0.0
794,11950,0.939,2,7,1,28,0.0
795,24127,0.926,21,0,5,8,0.0
797,23157,0.92,4,2,1,32,0.0
798,18791,0.624,3,3,1,77,1.0
801,16466,0.804,13,1,1,12,0.0
802,33358,0.843,7,2,1,6,1.0
803,17268,0.802,4,0,1,31,0.0
804,31935,0.913,7,3,1,5,0.0
805,24091,0.738,13,5,5,66,1.0
806,6060,0.92,21,4,5,184,0.0
809,21129,0.92,8,6,1,113,0.0
811,28211,0.92,10,3,3,39,0.0
812,18999,0.923,2,3,1,61,0.0
813,21176,0.7759999999999999,16,4,2,103,0.0
814,32958,0.92,20,7,1,7,0.0
815,23835,0.92,3,7,2,28,0.0
816,25327,0.624,15,2,0,80,0.0
817,27678,0.92,3,7,2,11,0.0
818,23741,0.624,2,1,2,89,1.0
819,28820,0.624,4,3,1,32,1.0
820,17500,0.91,5,2,1,19,0.0
821,14295,0.92,9,0,2,157,0.0
822,32617,0.92,4,7,0,110,0.0
823,893,0.926,20,5,5,90,0.0
824,17725,0.92,8,7,1,80,0.0
825,28991,0.624,7,3,1,17,1.0
826,10175,0.92,21,7,4,20,0.0
827,1783,0.7759999999999999,7,7,1,56,0.0
828,14496,0.926,21,7,5,109,0.0
829,9147,0.91,11,3,2,118,0.0
831,22997,0.878,10,7,3,9,0.0
832,31011,0.754,9,7,5,15,0.0
834,2991,0.899,10,5,0,48,0.0
835,30340,0.92,6,1,1,9,0.0
837,9448,0.926,14,2,5,28,0.0
839,18498,0.624,7,7,1,109,0.0
840,9485,0.924,21,7,3,35,0.0
841,25817,0.55,6,1,1,3,0.0
843,22816,0.949,21,0,5,136,0.0
844,27753,0.92,16,3,0,34,0.0
846,23247,0.887,4,2,4,94,0.0
848,9598,0.722,6,4,1,12,1.0
849,19454,0.624,4,2,1,172,1.0
850,14642,0.893,21,3,3,166,0.0
851,3438,0.92,15,3,2,28,1.0
852,12474,0.926,15,3,4,42,0.0
854,23609,0.92,10,7,3,18,0.0
855,32614,0.92,3,1,5,9,0.0
856,4568,0.8270000000000001,2,0,1,62,0.0
857,12469,0.89,7,1,2,20,0.0
858,13864,0.804,15,5,1,51,0.0
859,365,0.92,10,2,1,16,0.0
861,26682,0.925,21,7,1,108,0.0
865,21225,0.91,9,1,1,17,0.0
867,33049,0.915,9,1,1,20,0.0
868,7710,0.887,17,2,5,14,0.0
873,12310,0.92,2,4,1,10,0.0
874,15250,0.92,4,6,1,127,0.0
875,13277,0.92,21,7,5,26,0.0
877,22238,0.92,16,2,5,27,0.0
878,9180,0.897,7,5,1,34,0.0
880,3758,0.92,4,3,1,10,0.0
881,31014,0.92,12,6,4,62,0.0
883,16796,0.92,16,5,1,54,0.0
886,32165,0.92,21,2,3,42,0.0
887,13547,0.91,4,3,1,44,0.0
888,10756,0.913,8,2,1,28,0.0
889,13583,0.893,15,0,2,46,0.0
892,16787,0.926,12,3,5,154,0.0
893,5775,0.624,3,2,2,25,0.0
894,20785,0.939,3,2,1,30,0.0
895,28699,0.91,4,3,1,48,0.0
896,24337,0.926,14,2,0,68,0.0
897,22966,0.92,8,5,5,84,0.0
899,32482,0.92,6,7,1,166,0.0
900,29879,0.762,15,0,5,19,0.0
901,10209,0.527,9,0,2,145,0.0
903,28490,0.921,21,1,1,35,0.0
904,8093,0.89,16,1,1,22,0.0
907,30817,0.92,4,7,1,4,0.0
908,23295,0.738,12,3,1,216,0.0
911,11542,0.848,6,3,4,139,0.0
914,6449,0.92,21,5,0,8,0.0
915,18824,0.926,21,7,0,52,0.0
916,23056,0.698,11,2,4,39,0.0
918,26304,0.856,5,2,1,83,0.0
919,31586,0.92,11,1,1,4,0.0
920,28453,0.91,10,7,1,18,0.0
922,23001,0.624,9,7,1,166,0.0
923,16784,0.926,5,1,1,32,0.0
924,22595,0.887,4,1,1,14,0.0
925,730,0.92,5,3,1,140,0.0
926,12757,0.91,21,4,2,20,1.0
927,32758,0.92,13,4,3,23,0.0
928,5306,0.92,10,0,3,14,0.0
930,28336,0.92,21,1,5,52,0.0
931,6304,0.92,19,5,5,142,0.0
932,32427,0.92,9,5,1,131,0.0
933,31368,0.92,10,5,1,314,0.0
934,13273,0.92,0,2,1,196,1.0
935,31023,0.624,4,2,1,27,0.0
938,27629,0.843,10,1,5,21,1.0
